Engagement_ID,Alumni_ID,Event_ID,Participation_Score,Feedback_Text,Checkin_Method,Attendance_Status,Feedback_Rating,Survey_Completed,Hours_Spent,Registered_Flag,RSVP_Date,Followup_Sent,Followup_Response,Badge_Earned,Certificate_Issued,Photo_Consent,Comments,Created_At,Updated_At
39,384,667,99,Great networking opportunity,Kiosk,Attended,5,No,1.27,Yes,2018-11-28,No,No,Attendee,No,Yes,Good content,2016-05-30,2021-03-03
40,363,187,83,Met potential employers,Kiosk,No-Show,2,No,1.34,Yes,2015-03-14,No,No,Mentor,No,No,Looking for internship,2015-12-20,2025-06-17
41,957,543,85,Helpful for interviews,Kiosk,Attended,4,Yes,2.81,Yes,2023-02-16,No,Later,Attendee,Yes,Yes,Looking for internship,2025-06-02,2023-02-01
42,747,593,96,Met potential employers,Manual,Attended,4,No,3.04,Yes,2017-02-13,No,Later,Speaker,No,Yes,Would attend again,2023-06-23,2021-08-27
43,673,993,79,Informative session,Kiosk,Cancelled,3,No,1.71,Yes,2021-12-11,No,Later,Speaker,Yes,No,Good content,2016-03-26,2016-10-03
44,666,275,87,Good alumni connections,QR,Cancelled,5,Yes,1.72,Yes,2019-01-13,Yes,Later,Attendee,No,No,Would attend again,2023-07-21,2025-06-28
45,295,164,63,Good alumni connections,Manual,No-Show,1,No,1.76,Yes,2020-05-14,No,Yes,Mentor,Yes,No,Great panelists,2019-07-06,2024-09-22
46,460,815,99,Informative session,Manual,Cancelled,4,Yes,1.44,Yes,2015-09-11,Yes,No,Speaker,Yes,No,Great panelists,2022-11-23,2015-05-03
47,723,852,81,Good alumni connections,Manual,No-Show,2,Yes,1.46,Yes,2025-05-25,Yes,No,Volunteer,Yes,Yes,Great panelists,2025-01-08,2021-11-21
48,811,456,78,Relevant content,Kiosk,No-Show,4,Yes,0.77,Yes,2022-10-03,No,No,Attendee,Yes,Yes,Good content,2015-04-30,2025-07-22
49,650,848,84,Great networking opportunity,Kiosk,Cancelled,5,Yes,0.95,Yes,2020-09-06,Yes,No,Mentor,Yes,No,Looking for internship,2023-08-02,2017-05-09
50,879,602,87,Helpful for interviews,QR,Cancelled,3,No,1.48,Yes,2023-04-19,No,Yes,Volunteer,No,Yes,Good content,2025-09-14,2023-12-06
51,145,318,84,Great networking opportunity,QR,Attended,1,No,0.25,Yes,2016-11-12,No,No,Speaker,Yes,Yes,Would attend again,2023-06-12,2018-02-24
52,414,726,84,Average experience,QR,No-Show,4,Yes,2.19,Yes,2021-07-15,No,Yes,Volunteer,Yes,No,Great panelists,2023-03-27,2017-10-22
53,258,832,93,Great networking opportunity,Kiosk,No-Show,2,Yes,1.33,Yes,2022-11-06,Yes,Later,Speaker,Yes,Yes,Would attend again,2015-10-02,2025-11-21
54,967,137,80,Helpful for interviews,Manual,No-Show,2,Yes,2.0,Yes,2017-12-31,No,Yes,Speaker,Yes,No,Great panelists,2024-07-24,2018-05-01
55,523,779,77,Relevant content,Manual,No-Show,2,Yes,1.02,Yes,2021-07-03,No,Yes,Mentor,Yes,Yes,Good content,2023-12-03,2019-04-27
56,680,962,85,Helpful for interviews,Kiosk,No-Show,2,Yes,1.66,Yes,2021-11-16,No,No,Volunteer,Yes,Yes,Would attend again,2025-03-21,2017-09-01
57,491,643,62,Great networking opportunity,Manual,Attended,5,No,1.16,Yes,2022-06-12,No,Later,Mentor,No,No,Great panelists,2016-01-19,2020-06-29
58,396,890,80,Great networking opportunity,Manual,Cancelled,3,Yes,0.81,Yes,2018-11-28,No,No,Speaker,Yes,No,Looking for internship,2017-01-25,2021-12-20
59,276,979,59,Met potential employers,QR,No-Show,3,No,2.82,Yes,2018-05-31,No,No,Attendee,No,No,Great panelists,2022-03-16,2016-06-16
60,860,794,76,Relevant content,Manual,Cancelled,5,No,1.12,Yes,2025-03-02,No,Yes,Mentor,No,Yes,Great panelists,2018-06-18,2020-01-05
61,408,81,75,Informative session,QR,No-Show,3,No,1.11,Yes,2022-09-29,Yes,No,Mentor,No,No,Good content,2023-06-06,2023-10-26
62,872,529,86,Helpful for interviews,Manual,Cancelled,1,No,2.0,Yes,2019-01-06,No,No,Volunteer,Yes,Yes,Good content,2021-04-18,2021-05-05
63,638,425,97,Relevant content,QR,No-Show,5,No,2.13,Yes,2021-10-09,No,Yes,Volunteer,Yes,Yes,Good content,2023-12-08,2017-10-22
64,311,68,96,Helpful for interviews,QR,No-Show,5,Yes,1.69,Yes,2021-02-26,Yes,No,Mentor,No,Yes,Great panelists,2019-07-23,2023-04-25
65,587,36,59,Helpful for interviews,Kiosk,Attended,3,No,1.46,Yes,2024-03-25,No,No,Volunteer,Yes,No,Good content,2018-10-04,2025-08-07
66,750,244,95,Average experience,Kiosk,Cancelled,1,No,0.59,Yes,2017-03-26,No,No,Volunteer,Yes,No,Great panelists,2018-11-24,2025-07-12
67,225,958,67,Met potential employers,Kiosk,Cancelled,3,No,1.03,Yes,2017-08-29,No,Yes,Mentor,No,No,Great panelists,2025-10-20,2019-05-28
68,334,338,60,Good alumni connections,QR,No-Show,2,No,1.43,Yes,2025-03-04,No,Later,Attendee,Yes,Yes,Looking for internship,2022-11-14,2016-02-09
69,271,238,58,Met potential employers,Manual,No-Show,5,Yes,1.44,Yes,2019-12-04,No,Later,Speaker,Yes,Yes,Great panelists,2016-11-18,2016-12-31
70,947,861,45,Met potential employers,Manual,No-Show,4,Yes,3.2,Yes,2015-08-27,Yes,No,Attendee,No,No,Would attend again,2018-06-19,2022-01-02
71,311,537,42,Good alumni connections,Kiosk,Cancelled,1,Yes,2.29,Yes,2023-02-08,No,Yes,Mentor,No,No,Looking for internship,2019-06-18,2018-07-07
72,518,71,76,Relevant content,Manual,Attended,2,Yes,2.06,Yes,2017-12-26,No,Later,Attendee,No,Yes,Would attend again,2019-11-06,2024-01-27
73,442,552,76,Helpful for interviews,QR,No-Show,4,No,1.04,Yes,2019-10-05,Yes,Yes,Mentor,No,Yes,Looking for internship,2021-02-01,2016-03-03
74,70,328,62,Average experience,Kiosk,Attended,2,No,2.14,Yes,2021-04-05,Yes,No,Volunteer,No,No,Looking for internship,2016-02-11,2021-08-18
75,815,807,100,Relevant content,Manual,Cancelled,2,Yes,1.79,Yes,2016-06-08,Yes,Yes,Speaker,No,Yes,Good content,2025-09-23,2024-02-26
76,378,279,73,Great networking opportunity,Manual,Cancelled,1,Yes,1.4,Yes,2022-05-11,Yes,Later,Volunteer,No,Yes,Looking for internship,2024-11-27,2016-08-29
77,263,388,63,Helpful for interviews,Manual,Cancelled,5,No,2.19,Yes,2024-09-29,No,No,Mentor,No,Yes,Great panelists,2016-03-23,2023-07-28
78,266,588,89,Relevant content,QR,Attended,1,No,1.23,Yes,2023-08-03,No,Later,Volunteer,Yes,Yes,Good content,2018-11-08,2017-06-07
79,547,125,74,Great networking opportunity,Kiosk,Cancelled,5,Yes,1.52,Yes,2018-07-14,Yes,No,Attendee,Yes,No,Good content,2015-04-15,2020-07-03
80,161,157,76,Good alumni connections,Kiosk,Attended,2,No,1.44,Yes,2015-04-06,No,Yes,Speaker,Yes,Yes,Would attend again,2025-07-15,2023-03-13
81,331,970,91,Good alumni connections,Kiosk,No-Show,2,No,1.31,Yes,2023-01-19,Yes,Later,Speaker,Yes,Yes,Great panelists,2020-02-16,2023-11-16
82,602,716,90,Helpful for interviews,QR,Cancelled,2,Yes,1.57,Yes,2020-11-21,Yes,No,Attendee,Yes,Yes,Looking for internship,2016-10-29,2019-05-14
83,874,868,94,Met potential employers,Kiosk,Attended,1,No,1.66,Yes,2019-04-03,Yes,No,Mentor,No,Yes,Good content,2019-02-07,2020-07-29
84,548,593,100,Informative session,Kiosk,Attended,5,Yes,0.97,Yes,2021-01-24,No,Yes,Mentor,No,No,Good content,2016-09-06,2021-09-08
85,551,404,52,Great networking opportunity,Manual,Attended,1,No,1.97,Yes,2024-07-04,Yes,Yes,Volunteer,No,Yes,Would attend again,2022-02-23,2017-02-07
86,267,932,65,Informative session,Kiosk,Attended,3,No,1.74,Yes,2024-01-26,No,Later,Mentor,No,No,Good content,2023-09-08,2024-08-13
87,883,986,95,Great networking opportunity,Manual,No-Show,5,Yes,2.33,Yes,2019-01-11,Yes,No,Volunteer,No,No,Good content,2022-04-30,2020-11-02
88,193,163,80,Relevant content,QR,Cancelled,2,No,1.53,Yes,2021-09-02,Yes,Yes,Mentor,No,Yes,Looking for internship,2021-07-17,2021-02-02
89,478,834,72,Good alumni connections,Manual,Cancelled,1,Yes,0.69,Yes,2025-12-19,No,Yes,Speaker,Yes,No,Looking for internship,2023-07-05,2017-08-25
90,220,627,86,Average experience,Kiosk,Cancelled,1,Yes,1.63,Yes,2025-10-27,No,Yes,Volunteer,No,No,Great panelists,2015-05-11,2024-04-29
91,121,341,100,Great networking opportunity,QR,Attended,5,No,2.17,Yes,2022-10-28,Yes,No,Speaker,Yes,Yes,Good content,2021-12-02,2018-12-25
92,492,16,90,Average experience,Manual,Cancelled,3,No,2.51,Yes,2023-11-23,Yes,Later,Volunteer,Yes,No,Great panelists,2023-10-12,2022-06-23
93,59,291,100,Great networking opportunity,Manual,Attended,3,Yes,1.45,Yes,2023-04-01,No,Yes,Volunteer,No,Yes,Looking for internship,2020-12-09,2024-09-19
94,434,244,81,Helpful for interviews,QR,Attended,1,Yes,0.83,Yes,2019-01-09,Yes,No,Attendee,Yes,No,Looking for internship,2015-12-09,2020-06-20
95,143,842,88,Good alumni connections,Manual,No-Show,5,No,3.21,Yes,2025-05-16,No,Yes,Volunteer,No,No,Great panelists,2021-06-14,2016-04-19
96,762,368,94,Helpful for interviews,Manual,No-Show,1,Yes,0.25,Yes,2015-04-18,No,Yes,Speaker,No,No,Looking for internship,2016-12-28,2016-04-20
97,415,444,97,Good alumni connections,Kiosk,Cancelled,4,No,2.76,Yes,2020-12-24,No,Later,Speaker,No,Yes,Good content,2025-06-11,2025-03-12
98,397,709,76,Met potential employers,Manual,No-Show,5,No,2.12,Yes,2025-04-27,No,Later,Speaker,No,No,Would attend again,2016-04-04,2022-06-22
99,385,67,97,Informative session,QR,No-Show,2,Yes,1.47,Yes,2024-06-14,No,Later,Mentor,Yes,Yes,Good content,2023-03-02,2022-01-05
100,543,763,88,Great networking opportunity,Kiosk,Cancelled,1,No,1.02,Yes,2019-10-16,No,Later,Speaker,No,No,Would attend again,2023-06-21,2017-04-29
101,64,685,50,Helpful for interviews,Kiosk,No-Show,2,No,1.48,Yes,2016-11-02,No,No,Volunteer,No,Yes,Would attend again,2022-10-16,2016-01-25
102,981,99,91,Great networking opportunity,Manual,Cancelled,1,No,1.09,Yes,2024-06-30,Yes,No,Mentor,Yes,Yes,Great panelists,2024-07-21,2019-08-29
103,548,315,89,Informative session,QR,Attended,4,Yes,1.01,Yes,2019-12-14,No,Yes,Mentor,Yes,No,Great panelists,2017-03-08,2023-01-30
104,152,457,72,Helpful for interviews,QR,No-Show,5,Yes,0.53,Yes,2016-02-21,No,No,Speaker,Yes,No,Great panelists,2025-11-05,2024-12-20
105,771,802,71,Met potential employers,Manual,Cancelled,3,No,1.64,Yes,2018-05-09,Yes,No,Mentor,No,No,Good content,2018-12-22,2015-09-28
106,545,107,86,Average experience,Manual,Cancelled,4,Yes,1.45,Yes,2022-11-09,No,Later,Mentor,Yes,Yes,Good content,2020-01-06,2016-08-20
107,976,965,77,Informative session,QR,Cancelled,2,No,0.93,Yes,2021-03-11,No,Later,Mentor,Yes,Yes,Great panelists,2016-04-11,2017-03-30
108,901,954,92,Met potential employers,QR,No-Show,4,Yes,1.7,Yes,2024-02-18,Yes,No,Volunteer,Yes,No,Good content,2019-03-10,2019-08-21
109,142,35,94,Good alumni connections,Manual,Cancelled,3,Yes,1.55,Yes,2020-12-25,Yes,Yes,Mentor,Yes,Yes,Looking for internship,2025-09-26,2021-02-14
110,55,29,93,Average experience,Manual,Cancelled,2,No,0.52,Yes,2022-07-26,Yes,Later,Volunteer,Yes,No,Looking for internship,2023-10-24,2024-04-10
111,312,236,96,Good alumni connections,Manual,No-Show,5,No,1.08,Yes,2015-04-30,No,Later,Mentor,Yes,Yes,Would attend again,2023-04-20,2017-01-31
112,911,330,94,Met potential employers,Kiosk,No-Show,4,No,1.09,Yes,2018-07-20,Yes,Yes,Volunteer,No,No,Great panelists,2020-04-22,2018-05-23
113,449,978,61,Average experience,Kiosk,No-Show,2,Yes,1.78,Yes,2020-04-30,Yes,No,Attendee,Yes,No,Would attend again,2020-01-22,2025-09-22
114,279,879,90,Informative session,QR,Attended,1,No,2.53,Yes,2022-12-21,No,Later,Volunteer,Yes,No,Would attend again,2015-11-22,2021-12-28
115,994,833,88,Great networking opportunity,Kiosk,No-Show,4,Yes,1.35,Yes,2025-07-01,No,No,Mentor,No,No,Looking for internship,2022-10-07,2015-06-07
116,401,132,53,Good alumni connections,QR,No-Show,2,No,0.92,Yes,2023-02-08,Yes,Later,Speaker,No,Yes,Good content,2015-03-03,2015-02-27
117,258,648,63,Helpful for interviews,QR,No-Show,3,Yes,2.06,Yes,2023-05-24,Yes,No,Speaker,No,No,Looking for internship,2016-07-23,2018-12-10
118,335,773,65,Good alumni connections,Kiosk,Attended,1,No,1.71,Yes,2015-03-03,Yes,No,Speaker,Yes,No,Looking for internship,2016-10-27,2024-04-10
119,508,897,89,Helpful for interviews,Manual,No-Show,4,No,1.36,Yes,2019-09-11,Yes,No,Mentor,No,No,Would attend again,2021-01-31,2019-06-21
120,210,338,86,Relevant content,Kiosk,Attended,5,Yes,1.75,Yes,2016-02-25,No,No,Attendee,No,Yes,Looking for internship,2018-05-13,2015-10-15
121,863,995,81,Average experience,Manual,Cancelled,5,Yes,2.29,Yes,2023-08-26,Yes,Yes,Attendee,Yes,Yes,Looking for internship,2025-04-16,2022-05-27
122,958,551,70,Good alumni connections,Manual,Attended,4,Yes,0.86,Yes,2023-08-25,Yes,No,Attendee,No,No,Looking for internship,2021-05-08,2015-12-28
123,27,846,100,Met potential employers,Kiosk,No-Show,2,Yes,1.04,Yes,2023-06-21,No,No,Speaker,No,Yes,Would attend again,2017-01-31,2022-04-14
124,482,488,72,Relevant content,QR,Attended,3,No,1.99,Yes,2024-10-25,Yes,Later,Attendee,Yes,Yes,Would attend again,2023-04-05,2016-01-11
125,814,116,99,Met potential employers,Manual,No-Show,3,Yes,0.73,Yes,2020-11-14,No,Yes,Attendee,No,Yes,Good content,2023-04-13,2018-04-07
126,188,180,69,Informative session,Manual,Cancelled,4,Yes,1.84,Yes,2023-03-29,No,No,Mentor,No,Yes,Looking for internship,2022-06-20,2023-04-01
127,416,442,94,Helpful for interviews,QR,Cancelled,1,No,0.69,Yes,2022-03-23,Yes,Later,Attendee,No,Yes,Great panelists,2020-11-26,2022-08-27
128,287,201,87,Good alumni connections,QR,No-Show,5,No,1.63,Yes,2016-01-17,No,Yes,Volunteer,Yes,No,Would attend again,2024-10-20,2024-04-19
129,948,65,76,Informative session,Kiosk,Cancelled,4,No,1.6,Yes,2025-07-29,Yes,Later,Mentor,No,Yes,Great panelists,2016-06-18,2019-08-17
130,177,124,69,Average experience,QR,No-Show,4,No,1.33,Yes,2017-11-23,No,No,Mentor,Yes,Yes,Would attend again,2019-05-09,2016-11-18
131,953,990,88,Met potential employers,QR,Attended,4,No,1.11,Yes,2016-01-07,No,Yes,Volunteer,Yes,No,Looking for internship,2018-09-07,2022-05-31
132,170,628,57,Average experience,QR,No-Show,3,No,1.5,Yes,2024-03-12,Yes,No,Volunteer,Yes,No,Great panelists,2023-12-01,2015-06-04
133,383,886,89,Helpful for interviews,Manual,No-Show,2,Yes,2.14,Yes,2024-02-06,No,Yes,Volunteer,Yes,No,Would attend again,2019-07-01,2016-09-04
134,582,653,68,Helpful for interviews,Kiosk,Cancelled,2,No,1.49,Yes,2018-12-08,Yes,Later,Volunteer,No,Yes,Good content,2017-05-04,2020-08-19
135,771,716,100,Met potential employers,Manual,Cancelled,5,No,1.87,Yes,2015-09-17,No,No,Mentor,Yes,No,Would attend again,2015-07-18,2023-09-03
136,613,546,74,Informative session,Manual,Attended,5,Yes,1.51,Yes,2017-11-14,No,No,Attendee,No,Yes,Good content,2025-06-19,2018-10-02
137,474,58,74,Informative session,Kiosk,Attended,3,No,1.6,Yes,2023-07-17,Yes,Later,Attendee,Yes,No,Looking for internship,2025-04-10,2024-05-24
138,809,47,80,Relevant content,Manual,No-Show,1,Yes,1.38,Yes,2022-10-27,No,No,Speaker,No,No,Good content,2016-11-14,2017-07-08
139,678,430,68,Met potential employers,Manual,No-Show,1,Yes,1.85,Yes,2023-07-15,Yes,Yes,Attendee,No,No,Great panelists,2016-11-04,2022-05-29
140,539,618,85,Met potential employers,QR,Attended,2,No,1.48,Yes,2020-10-26,Yes,Yes,Mentor,No,Yes,Great panelists,2018-08-28,2025-04-19
141,360,503,66,Good alumni connections,Kiosk,No-Show,2,No,0.68,Yes,2022-06-20,No,Yes,Attendee,No,Yes,Looking for internship,2021-01-08,2020-06-13
142,46,463,83,Great networking opportunity,Kiosk,Attended,5,No,1.29,Yes,2020-04-20,Yes,Yes,Attendee,No,Yes,Good content,2025-01-21,2019-07-06
143,489,56,78,Good alumni connections,Manual,Cancelled,1,Yes,0.56,Yes,2018-04-03,No,Later,Mentor,No,Yes,Good content,2021-01-21,2021-09-21
144,765,298,80,Helpful for interviews,Manual,Attended,5,Yes,0.8,Yes,2024-01-13,Yes,Yes,Volunteer,Yes,No,Looking for internship,2016-11-17,2016-09-03
145,786,20,75,Informative session,QR,Cancelled,5,No,2.39,Yes,2025-06-13,No,Yes,Mentor,Yes,No,Good content,2017-06-05,2024-09-10
146,892,553,54,Relevant content,QR,Cancelled,5,No,1.18,Yes,2016-03-17,No,Later,Volunteer,Yes,Yes,Great panelists,2021-06-19,2023-04-17
147,550,80,76,Great networking opportunity,Manual,No-Show,4,Yes,1.89,Yes,2015-12-26,No,No,Volunteer,Yes,No,Would attend again,2018-02-27,2020-11-21
148,116,168,64,Great networking opportunity,Manual,Cancelled,4,No,1.62,Yes,2018-05-31,No,No,Attendee,No,No,Great panelists,2021-05-30,2015-11-07
149,623,757,100,Informative session,Kiosk,Cancelled,3,No,1.66,Yes,2021-09-03,Yes,Later,Volunteer,No,No,Great panelists,2023-10-04,2023-08-19
150,600,561,69,Relevant content,Manual,Cancelled,2,Yes,1.91,Yes,2017-04-19,No,Later,Speaker,Yes,No,Looking for internship,2018-12-08,2017-10-24
151,830,79,74,Good alumni connections,Kiosk,No-Show,5,No,1.32,Yes,2021-01-04,No,No,Mentor,Yes,Yes,Would attend again,2017-12-05,2025-04-30
152,952,717,74,Met potential employers,Manual,Attended,1,No,1.98,Yes,2025-11-06,No,Later,Speaker,Yes,No,Great panelists,2024-04-12,2018-01-06
153,412,283,77,Good alumni connections,Manual,Cancelled,1,Yes,1.4,Yes,2016-04-06,Yes,No,Attendee,Yes,No,Looking for internship,2025-07-13,2015-03-25
154,595,121,93,Good alumni connections,Kiosk,Attended,2,Yes,1.56,Yes,2019-07-09,No,No,Attendee,Yes,Yes,Would attend again,2022-04-05,2019-06-13
155,207,801,100,Good alumni connections,Manual,Cancelled,5,No,1.04,Yes,2024-01-05,No,Later,Mentor,Yes,Yes,Looking for internship,2021-11-10,2024-09-25
156,134,88,73,Good alumni connections,Manual,No-Show,4,No,1.91,Yes,2018-01-21,No,Yes,Speaker,Yes,Yes,Looking for internship,2015-03-14,2025-10-08
157,106,316,88,Good alumni connections,Kiosk,Cancelled,4,Yes,1.54,Yes,2023-11-20,No,Yes,Volunteer,No,No,Would attend again,2019-10-25,2018-12-12
158,161,504,100,Relevant content,Kiosk,No-Show,1,No,2.31,Yes,2024-10-13,Yes,Yes,Mentor,No,Yes,Looking for internship,2018-11-30,2019-04-23
159,873,692,100,Informative session,QR,No-Show,2,Yes,1.69,Yes,2024-05-18,No,Yes,Attendee,Yes,Yes,Looking for internship,2016-09-27,2017-12-19
160,420,351,93,Informative session,Manual,Attended,5,Yes,1.95,Yes,2016-04-18,No,No,Speaker,No,Yes,Looking for internship,2018-11-26,2023-10-15
161,6,570,46,Met potential employers,Manual,No-Show,5,No,1.69,Yes,2024-02-26,Yes,Later,Speaker,No,Yes,Great panelists,2025-09-27,2024-07-30
162,916,642,75,Great networking opportunity,Kiosk,Attended,2,No,1.9,Yes,2021-04-15,Yes,Yes,Attendee,No,Yes,Great panelists,2017-04-06,2023-08-02
163,466,698,74,Relevant content,QR,Cancelled,5,No,1.61,Yes,2016-10-21,No,Yes,Mentor,No,No,Good content,2017-04-26,2024-10-26
164,188,545,100,Great networking opportunity,QR,Cancelled,5,Yes,2.16,Yes,2024-06-02,Yes,No,Mentor,Yes,No,Would attend again,2016-06-20,2024-05-24
165,800,88,92,Great networking opportunity,Manual,Cancelled,2,No,1.72,Yes,2015-08-15,No,No,Attendee,No,No,Good content,2021-04-06,2024-12-28
166,605,650,67,Relevant content,Manual,Cancelled,1,Yes,1.57,Yes,2015-07-05,No,No,Volunteer,Yes,Yes,Good content,2018-08-22,2020-03-24
167,146,388,77,Good alumni connections,QR,Attended,5,Yes,2.23,Yes,2022-10-06,No,Later,Speaker,No,No,Good content,2016-12-01,2023-08-09
168,909,700,71,Informative session,QR,No-Show,5,Yes,1.04,Yes,2016-08-25,Yes,Later,Speaker,Yes,Yes,Good content,2024-04-09,2018-11-21
