Job_ID,Alumni_ID,Employer_ID,Role,Technology,Employment_Type,Work_Auth_At_Hire,Remote_Flag,City,State,Country,Start_Date,End_Date,Job_Portal,Salary_USD,Bonus_USD,Performance_Rating,Manager_Name,Team,Offer_Accept_Days
15,50,359,Product Manager,"Python, Power BI, AWS",Part-Time,Citizen,No,Savannah,GA,USA,2016-12-28,2022-03-28,Campus Career Fair,117585,6237,4,Paul Sanders,Data,6
16,740,878,QA Engineer,"Kubernetes, R",Intern,OPT,No,Worcester,MA,USA,2019-05-28,2025-07-03,Handshake,63843,8629,4,Adam Thompson,Security,6
17,773,122,ML Engineer,"Azure, AWS, SQL",Contract,OPT,No,Denver,CO,USA,2023-12-09,2025-03-13,Indeed,121820,10284,5,Christopher Kaiser,QA,8
18,80,334,Salesforce Developer,Snowflake,Intern,CPT,No,Bellevue,WA,USA,2022-06-10,2022-09-02,Handshake,85355,9532,1,Lisa Anderson,SRE,10
19,207,459,DevOps Engineer,"Node.js, Kubernetes, GCP",Intern,CPT,Yes,Philadelphia,PA,USA,2016-05-29,2019-03-14,Campus Career Fair,122224,7892,1,Matthew Nelson,Apps,1
20,370,973,Software Engineer,"Node.js, Kubernetes, Docker",Full-Time,STEM-OPT,Yes,Philadelphia,PA,USA,2025-06-27,2025-11-23,Handshake,82929,3942,1,Crystal Mendoza,Data,14
21,635,595,Data Engineer,"Node.js, R, Docker",Full-Time,OPT,No,Houston,TX,USA,2020-05-10,2022-10-11,Handshake,119777,5623,3,Christopher Vega,Platform,15
22,45,885,Salesforce Developer,"JavaScript, SQL, GCP",Intern,CPT,Yes,Cleveland,OH,USA,2024-06-01,2025-07-28,Referral,110813,6307,2,Kelsey Gonzalez,Data,10
23,265,674,Security Analyst,"Power BI, Azure",Full-Time,CPT,Yes,Bellevue,WA,USA,2019-01-13,2023-09-21,Referral,106590,11223,4,Ashley Johnson,Platform,8
24,150,299,Data Analyst,"Java, .NET, Tableau",Part-Time,Citizen,No,Miami,FL,USA,2024-07-12,2024-09-04,Company Site,113207,2928,2,Brittany Myers,Platform,9
25,105,559,SDET,Python,Intern,STEM-OPT,No,Plano,TX,USA,2016-06-16,2019-03-06,Referral,81259,382,1,Aaron Jones,SRE,9
26,315,515,DevOps Engineer,"Spark, Docker",Full-Time,STEM-OPT,No,Columbus,OH,USA,2018-11-30,2021-08-14,Glassdoor,105506,11470,1,Melissa Hernandez,Security,8
27,805,418,Data Analyst,"Azure, Node.js, Docker",Part-Time,STEM-OPT,Yes,Rochester,NY,USA,2025-07-01,2025-02-07,Indeed,105018,6825,2,Mary Sellers DDS,Apps,11
28,774,663,Product Manager,"Python, SQL, GCP",Part-Time,CPT,No,Colorado Springs,CO,USA,2021-09-14,2021-05-10,Indeed,141282,10877,3,Kevin Phillips,Security,21
29,898,984,Data Analyst,Kubernetes,Part-Time,Citizen,No,Harrisburg,PA,USA,2021-08-06,2024-02-18,Indeed,98618,8387,2,Danny Hanson,Data,12
30,242,204,Data Analyst,"JavaScript, Docker",Contract,H1B,No,Columbus,OH,USA,2024-04-02,2024-02-07,LinkedIn,106958,4140,2,Patrick Moore,Apps,11
31,456,59,DevOps Engineer,Power BI,Full-Time,Citizen,Yes,San Jose,CA,USA,2022-11-15,2025-02-11,Handshake,128530,7244,5,Amy Carr,Data,10
32,372,137,Product Manager,Docker,Part-Time,Citizen,Yes,Pittsburgh,PA,USA,2022-04-21,2024-03-23,Indeed,98877,7272,5,Timothy Martin,Security,4
33,503,15,DevOps Engineer,"GCP, Node.js, Docker",Full-Time,H1B,No,White Plains,NY,USA,2023-10-07,2025-06-29,LinkedIn,106010,5153,4,Calvin Williams,Data,12
34,927,127,DevOps Engineer,"Docker, AWS",Full-Time,CPT,Yes,Peoria,IL,USA,2021-12-30,2025-08-26,Glassdoor,99472,8304,2,Joseph Young,Platform,1
35,78,992,DevOps Engineer,"JavaScript, Power BI",Intern,OPT,No,Cleveland,OH,USA,2022-09-21,2023-02-04,Referral,106444,10440,2,Katherine Pace,Apps,14
36,604,560,Data Analyst,"Azure, Power BI, React",Part-Time,STEM-OPT,Yes,Orlando,FL,USA,2019-06-19,2020-08-11,LinkedIn,94793,7674,3,Brian Mccormick,Security,13
37,262,449,Business Analyst,Java,Intern,STEM-OPT,Yes,Ann Arbor,MI,USA,2020-02-07,2024-06-07,Glassdoor,96604,5447,5,Sean Koch,Data,11
38,908,305,ML Engineer,"Snowflake, Power BI, Kubernetes",Full-Time,CPT,No,Clayton,MO,USA,2017-01-18,2018-03-01,Indeed,105118,4070,4,Leonard Thomas,QA,7
39,603,985,Business Analyst,"Node.js, AWS, Kubernetes",Contract,H1B,No,Jacksonville,FL,USA,2024-12-25,2025-08-17,Glassdoor,101399,4526,2,Dr. Amy Farmer MD,SRE,3
40,19,421,Data Analyst,R,Intern,OPT,No,Tacoma,WA,USA,2021-12-01,2022-09-20,LinkedIn,141486,6751,3,Travis Cunningham,Apps,7
41,716,449,Security Analyst,"Power BI, Java",Part-Time,STEM-OPT,Yes,Atlanta,GA,USA,2020-03-26,2020-01-27,Referral,93695,5837,4,William Brown,Apps,12
42,640,230,Security Analyst,"GCP, Spark, Power BI",Part-Time,Citizen,No,Ann Arbor,MI,USA,2024-06-22,2024-06-04,Referral,115668,10910,2,Andrea Palmer,Security,14
43,204,909,Salesforce Developer,"Spark, SQL",Contract,STEM-OPT,Yes,Springfield,IL,USA,2024-10-06,2025-05-17,Glassdoor,124779,8312,5,Michelle Lee,Security,3
44,390,418,QA Engineer,Kubernetes,Part-Time,CPT,No,Colorado Springs,CO,USA,2025-08-30,2025-06-05,Company Site,98701,10593,4,Rebecca Gonzalez,Data,3
45,282,19,Data Engineer,"React, Azure",Full-Time,Citizen,Yes,Tacoma,WA,USA,2022-10-10,2023-03-13,Indeed,81111,5479,2,John Fuentes,Data,3
46,868,432,ML Engineer,"Tableau, Snowflake",Full-Time,Citizen,Yes,Clayton,MO,USA,2022-03-15,2025-12-12,Indeed,97808,3173,1,Edward Morales,Platform,9
47,936,61,DevOps Engineer,"Tableau, Node.js, Java",Part-Time,STEM-OPT,No,Grand Rapids,MI,USA,2024-07-03,2024-06-21,LinkedIn,50118,14798,1,Linda Malone,SRE,1
48,30,964,Salesforce Developer,"Spark, Python, R",Full-Time,STEM-OPT,No,Cincinnati,OH,USA,2025-07-22,2025-02-05,Handshake,124729,6775,3,Kimberly Bowman,Apps,14
49,58,784,Data Engineer,"Kubernetes, Node.js, Spark",Full-Time,Citizen,Yes,Durham,NC,USA,2021-05-09,2025-10-24,Company Site,94876,5512,1,Jessica Cunningham,SRE,4
50,978,816,Software Engineer,JavaScript,Part-Time,OPT,No,Detroit,MI,USA,2019-08-02,2022-06-25,Indeed,120068,12463,2,Charles Gomez,Security,12
51,648,661,Product Manager,"AWS, .NET, Node.js",Full-Time,Citizen,No,Worcester,MA,USA,2024-02-08,2024-04-18,Handshake,90770,7078,1,Madison Newman,Platform,4
52,580,774,QA Engineer,"JavaScript, R",Intern,OPT,Yes,Charlotte,NC,USA,2024-09-08,2025-04-11,Glassdoor,121668,9348,2,Christine Mcdonald,Apps,8
53,221,637,Data Analyst,Docker,Part-Time,STEM-OPT,Yes,Cleveland,OH,USA,2019-12-28,2021-08-27,Campus Career Fair,92114,7594,5,Gregory Irwin,Platform,8
54,274,630,Business Analyst,C++,Contract,STEM-OPT,No,Detroit,MI,USA,2024-12-17,2024-11-02,Company Site,98030,9793,2,Andrew Smith,Platform,8
55,594,492,Product Manager,"Power BI, Hadoop",Contract,CPT,No,Kansas City,MO,USA,2022-03-28,2024-01-25,Campus Career Fair,114951,7780,4,Daniel Lane,Platform,14
56,603,123,Business Analyst,"JavaScript, Node.js",Full-Time,Citizen,No,Urbana,IL,USA,2021-12-09,2024-04-22,Glassdoor,104876,12796,3,Nancy Sampson,Apps,6
57,967,578,Security Analyst,JavaScript,Part-Time,H1B,Yes,Jacksonville,FL,USA,2022-11-14,2025-12-23,Company Site,60328,9531,5,Gary Rodgers,QA,5
58,23,357,Salesforce Developer,"JavaScript, Azure",Intern,H1B,Yes,San Jose,CA,USA,2018-05-11,2022-02-01,Company Site,107450,10540,3,Lance Peck,QA,15
59,312,370,Data Engineer,"AWS, .NET, R",Intern,Citizen,No,Jacksonville,FL,USA,2022-07-24,2024-04-20,LinkedIn,100641,7611,3,Mr. Matthew Moody,QA,7
60,803,565,DevOps Engineer,"JavaScript, GCP",Contract,STEM-OPT,No,Los Angeles,CA,USA,2025-10-18,2025-02-27,Indeed,74514,8741,5,Jillian Acosta,Data,10
61,443,752,DevOps Engineer,".NET, R, Power BI",Part-Time,CPT,No,Durham,NC,USA,2023-10-26,2024-08-17,Indeed,163231,10387,3,Carly Kelly,SRE,13
62,58,142,Salesforce Developer,Docker,Part-Time,Citizen,No,Fort Collins,CO,USA,2021-10-08,2023-04-12,LinkedIn,131823,11876,1,Rachel Hickman,Platform,9
63,985,20,QA Engineer,Kubernetes,Contract,Citizen,Yes,New York,NY,USA,2022-11-25,2023-05-28,Campus Career Fair,102781,4629,4,Mr. Ryan Gonzalez PhD,Security,12
64,377,580,Product Manager,"Hadoop, Java, Power BI",Full-Time,STEM-OPT,No,San Jose,CA,USA,2025-08-19,2025-05-31,Campus Career Fair,153752,10445,3,Christopher Reed,SRE,1
65,86,91,Business Analyst,"R, Python, Power BI",Contract,H1B,No,Redmond,WA,USA,2024-01-01,2025-05-27,Campus Career Fair,125146,12893,1,Bradley Jones,Apps,8
66,121,606,SDET,Node.js,Intern,STEM-OPT,Yes,Tempe,AZ,USA,2025-04-25,2025-09-22,Company Site,119602,10962,1,Kimberly Garcia,QA,9
67,420,790,SDET,"Python, .NET, AWS",Part-Time,H1B,No,Redmond,WA,USA,2024-08-26,2024-07-17,Handshake,112802,5461,1,Deborah Hamilton,Platform,1
68,719,102,DevOps Engineer,"GCP, .NET, Power BI",Contract,CPT,Yes,Jacksonville,FL,USA,2024-09-27,2024-08-25,Referral,99268,9765,5,Nicholas Lopez,Apps,7
69,925,155,SDET,".NET, Java",Full-Time,Citizen,Yes,Ann Arbor,MI,USA,2024-06-20,2024-07-01,Indeed,113217,5405,4,Michael Brown,SRE,7
70,911,548,QA Engineer,"Power BI, R, Java",Contract,Citizen,No,Alpharetta,GA,USA,2019-02-24,2024-10-18,Handshake,69392,5809,3,Daniel Munoz,SRE,11
71,391,895,QA Engineer,AWS,Full-Time,STEM-OPT,No,Boston,MA,USA,2017-05-03,2021-06-18,Referral,109048,7279,4,Casey Rodriguez,SRE,9
72,889,254,ML Engineer,"Java, .NET",Part-Time,H1B,No,Cleveland,OH,USA,2023-07-29,2025-06-04,Handshake,82221,10045,1,Jeremy Hudson,QA,11
73,420,211,ML Engineer,GCP,Intern,Citizen,Yes,Urbana,IL,USA,2023-06-22,2023-08-02,Indeed,120684,7714,1,Patrick Alexander,SRE,14
74,363,111,QA Engineer,"Azure, AWS, Spark",Contract,OPT,Yes,Cincinnati,OH,USA,2019-02-11,2025-08-18,Glassdoor,69347,10825,4,Ian Patel,Platform,7
75,480,980,Security Analyst,JavaScript,Full-Time,Citizen,Yes,Naperville,IL,USA,2024-01-25,2024-10-05,Indeed,121995,5760,1,Amy Wright,Apps,3
76,990,806,QA Engineer,"Spark, Kubernetes",Intern,STEM-OPT,No,Albany,NY,USA,2020-12-01,2021-08-29,Company Site,108820,9519,1,Briana Lam,Security,17
77,156,112,Data Analyst,Docker,Part-Time,Citizen,Yes,Raleigh,NC,USA,2024-07-27,2024-09-22,Glassdoor,112457,6851,2,Frank Shepherd,Security,1
78,12,475,Data Analyst,"R, Azure, Docker",Full-Time,H1B,No,Denver,CO,USA,2022-11-08,2023-03-21,LinkedIn,81727,4269,4,Molly Powell,SRE,13
79,27,503,Data Engineer,"Tableau, Python, R",Part-Time,CPT,Yes,Denver,CO,USA,2019-10-05,2020-09-18,Referral,78316,8410,1,Janet Archer,Apps,13
80,1000,57,Data Engineer,"R, AWS",Contract,OPT,Yes,Fort Collins,CO,USA,2018-12-25,2021-08-14,Handshake,95499,8773,4,Louis Rodriguez Jr.,Security,11
81,716,259,Data Engineer,"Snowflake, .NET, React",Contract,OPT,Yes,Philadelphia,PA,USA,2022-04-13,2025-10-04,Handshake,101700,10902,4,Angela Woodard,SRE,6
82,675,100,DevOps Engineer,"Spark, Docker",Contract,H1B,No,Bellevue,WA,USA,2023-06-01,2025-07-19,Company Site,80034,11563,5,Amanda Clayton,Security,6
83,233,961,ML Engineer,"Snowflake, Docker",Intern,STEM-OPT,No,Charlotte,NC,USA,2023-02-26,2023-09-25,Handshake,89086,9601,5,Tammy Little,Security,16
84,404,115,Software Engineer,Java,Intern,OPT,No,Springfield,MO,USA,2023-03-24,2023-05-12,Glassdoor,75663,5336,2,Anna Terry,QA,12
85,932,130,ML Engineer,"React, Hadoop",Part-Time,CPT,No,Albany,NY,USA,2023-09-05,2024-09-17,Indeed,121359,4029,5,Joel Mckenzie,Platform,12
86,368,643,DevOps Engineer,"R, GCP",Contract,CPT,Yes,Naperville,IL,USA,2016-10-16,2021-05-16,Indeed,104069,6780,5,Linda Jenkins,Security,10
87,82,794,QA Engineer,"Azure, JavaScript",Part-Time,Citizen,No,Cincinnati,OH,USA,2025-05-10,2025-01-29,Referral,84446,6783,1,Mariah Love,Security,12
88,857,830,Business Analyst,"Azure, Snowflake, R",Part-Time,CPT,Yes,Alpharetta,GA,USA,2024-08-10,2024-02-09,Handshake,87671,3068,5,Brandon Weber,Security,10
89,628,67,Software Engineer,"React, Azure",Full-Time,CPT,No,New York,NY,USA,2024-10-31,2024-01-25,LinkedIn,114607,10226,1,Samuel Smith,Data,6
90,548,785,Product Manager,R,Contract,CPT,No,Philadelphia,PA,USA,2025-02-05,2025-12-24,Referral,99739,14990,3,Julia Griffin,SRE,12
91,16,828,QA Engineer,Hadoop,Full-Time,Citizen,Yes,Pittsburgh,PA,USA,2022-11-18,2025-12-26,Indeed,92444,7530,2,Rebecca Mills,Apps,8
92,59,291,Business Analyst,"Spark, C++, SQL",Full-Time,STEM-OPT,Yes,Urbana,IL,USA,2016-02-06,2020-08-31,LinkedIn,103161,7666,5,Benjamin Simpson,SRE,9
93,244,375,Data Analyst,Kubernetes,Contract,STEM-OPT,No,Philadelphia,PA,USA,2025-12-24,2025-05-08,Glassdoor,82788,8986,2,Chelsea Perez,Security,11
94,848,501,Data Engineer,"Tableau, .NET, C++",Intern,CPT,Yes,Naperville,IL,USA,2025-06-18,2025-02-21,Company Site,99410,4717,3,Diana Velez,Security,4
95,132,590,QA Engineer,"JavaScript, Snowflake",Full-Time,H1B,Yes,Worcester,MA,USA,2016-04-19,2024-05-04,Referral,104874,6617,5,Miguel Lloyd,Data,9
96,431,801,Data Engineer,React,Part-Time,Citizen,No,Seattle,WA,USA,2022-05-28,2025-10-15,Campus Career Fair,70588,7525,4,Kimberly Carson,Security,5
97,607,425,QA Engineer,.NET,Part-Time,H1B,No,Charlotte,NC,USA,2025-10-12,2025-09-24,Company Site,92718,11309,5,Cynthia Roberson,SRE,1
98,943,880,Salesforce Developer,"Azure, C++, R",Intern,STEM-OPT,Yes,Fort Collins,CO,USA,2025-07-24,2025-10-15,Glassdoor,90059,6725,4,Catherine Bailey,Platform,12
99,175,788,Data Engineer,"Spark, Kubernetes",Contract,Citizen,Yes,Philadelphia,PA,USA,2020-03-12,2022-12-13,Referral,77693,8033,4,Carolyn Jackson,Apps,18
100,641,543,Security Analyst,Node.js,Part-Time,Citizen,No,Harrisburg,PA,USA,2025-03-06,2025-02-03,Referral,104929,5473,5,Frederick Holden,Apps,12
101,749,572,Business Analyst,Power BI,Intern,OPT,No,Redmond,WA,USA,2021-03-18,2022-08-22,Handshake,92304,6721,4,Daniel Aguilar,QA,8
102,990,900,SDET,"SQL, Hadoop, JavaScript",Intern,CPT,No,Boulder,CO,USA,2020-12-19,2023-12-20,Campus Career Fair,115131,7099,5,Michelle Logan,Data,9
103,423,517,Data Engineer,"Spark, Power BI",Contract,OPT,Yes,St. Louis,MO,USA,2018-08-18,2024-10-04,Company Site,120348,7761,5,Lindsey Ramirez,Data,16
104,453,999,Software Engineer,"R, Azure",Contract,OPT,No,Colorado Springs,CO,USA,2024-11-18,2024-04-02,Indeed,85497,6157,2,Rachel Hughes,QA,12
105,614,180,Business Analyst,"GCP, Node.js",Part-Time,Citizen,No,Bellevue,WA,USA,2024-04-14,2024-10-23,Referral,112182,7670,4,Karen Watson,QA,17
106,909,620,SDET,"R, .NET",Part-Time,STEM-OPT,Yes,Ann Arbor,MI,USA,2025-05-23,2025-02-24,Referral,125305,12567,1,Rebecca Pacheco MD,SRE,11
107,605,386,SDET,"Kubernetes, JavaScript, Spark",Part-Time,H1B,Yes,Savannah,GA,USA,2023-11-09,2023-01-06,Handshake,119244,9423,1,Kyle Miller,Apps,1
108,150,909,Security Analyst,"Snowflake, R",Contract,OPT,Yes,Cary,NC,USA,2024-12-07,2025-07-19,Handshake,105912,6605,4,Alyssa Morgan,Data,12
109,337,415,Software Engineer,C++,Part-Time,STEM-OPT,No,Cleveland,OH,USA,2020-02-08,2020-10-26,Handshake,91929,7986,1,Michael Alvarez,Security,21
110,442,717,Data Analyst,"AWS, GCP",Full-Time,Citizen,Yes,Denver,CO,USA,2024-11-14,2024-02-11,LinkedIn,120746,9915,3,John Spence,Security,11
111,981,695,Salesforce Developer,"JavaScript, Java, Power BI",Full-Time,STEM-OPT,Yes,Tempe,AZ,USA,2019-09-15,2023-11-25,Referral,82303,7808,4,Kristina Mason,QA,9
112,615,782,ML Engineer,"Java, Hadoop",Intern,OPT,No,Colorado Springs,CO,USA,2023-08-21,2023-03-01,Company Site,122814,5882,5,Curtis Houston,SRE,6
113,947,440,Business Analyst,Kubernetes,Part-Time,OPT,No,Denver,CO,USA,2023-06-18,2024-10-10,Indeed,83669,9242,4,Kathryn Dean,Security,8
114,802,456,Software Engineer,"R, .NET",Contract,H1B,No,San Antonio,TX,USA,2018-09-13,2025-06-24,Company Site,142930,11093,3,Julie Collier,Data,6
115,770,1000,Software Engineer,"Node.js, Spark",Full-Time,Citizen,Yes,Savannah,GA,USA,2021-04-03,2022-02-01,Referral,95021,9046,3,Sergio Parker,Apps,15
116,306,82,Salesforce Developer,"C++, Power BI, Docker",Intern,H1B,Yes,Miami,FL,USA,2023-02-12,2024-08-27,Glassdoor,114999,11485,1,Christopher Thornton,SRE,9
117,132,628,Data Analyst,"Snowflake, Docker, Java",Part-Time,CPT,Yes,Los Angeles,CA,USA,2017-09-17,2021-03-31,Indeed,102295,10057,3,Tonya Pitts,Data,3
118,288,262,Data Engineer,"R, C++, Spark",Full-Time,OPT,No,Houston,TX,USA,2018-10-02,2024-06-20,Indeed,71843,4783,5,Brandy Turner,Security,1
119,116,41,Data Engineer,"R, GCP, Kubernetes",Full-Time,OPT,No,Los Angeles,CA,USA,2023-12-19,2023-01-31,Indeed,118077,6859,3,Timothy Griffin,SRE,19
120,422,702,SDET,"Kubernetes, Docker",Part-Time,OPT,No,San Antonio,TX,USA,2020-01-27,2024-09-10,Glassdoor,102735,7660,5,Joshua Phillips,Platform,8
121,970,519,SDET,".NET, Python",Full-Time,STEM-OPT,Yes,Fort Collins,CO,USA,2017-10-09,2018-02-25,Campus Career Fair,109298,4625,4,Angela Leblanc,Apps,10
122,551,962,Business Analyst,"React, Azure, GCP",Full-Time,Citizen,No,Atlanta,GA,USA,2016-10-16,2024-08-25,Handshake,139124,9369,4,William Stevens,Apps,5
123,194,790,Product Manager,"React, Python, JavaScript",Full-Time,H1B,No,Tucson,AZ,USA,2018-02-28,2021-09-29,Handshake,111039,6229,1,Allison Rice,SRE,12
124,492,169,Data Engineer,"C++, Hadoop, SQL",Full-Time,STEM-OPT,No,Los Angeles,CA,USA,2024-11-20,2025-03-26,Campus Career Fair,82067,6299,1,Michael Wood,Security,7
125,699,883,QA Engineer,"JavaScript, SQL, Node.js",Part-Time,STEM-OPT,No,Kansas City,MO,USA,2025-11-10,2025-09-11,LinkedIn,90836,14074,5,Brandon Peterson,Apps,10
126,365,253,QA Engineer,Azure,Contract,H1B,No,Naperville,IL,USA,2024-04-27,2024-11-04,Referral,109069,7860,2,Dr. Mary Ramirez,Apps,12
127,760,442,Product Manager,"Azure, SQL, React",Part-Time,STEM-OPT,Yes,Grand Rapids,MI,USA,2020-04-01,2023-11-07,Glassdoor,99407,5068,1,Mark Mclean,SRE,1
128,660,645,QA Engineer,"SQL, GCP, R",Intern,OPT,Yes,Alpharetta,GA,USA,2025-10-05,2025-03-11,Campus Career Fair,84592,10060,4,Jessica Mendoza,Security,6
129,465,96,Business Analyst,"C++, Docker, JavaScript",Contract,Citizen,No,Chesterfield,MO,USA,2025-03-17,2025-01-07,Company Site,81928,10626,2,Jessica Cervantes,Security,7
130,584,269,Business Analyst,Node.js,Contract,CPT,Yes,Miami,FL,USA,2024-04-06,2025-11-06,Company Site,97557,12902,4,Kristina Nelson,SRE,14
131,265,275,Data Analyst,"Kubernetes, React, Azure",Part-Time,OPT,Yes,Boston,MA,USA,2025-12-16,2025-08-21,Campus Career Fair,79541,10411,4,Jeremy Johnson,Apps,14
132,739,332,Business Analyst,"Spark, Hadoop",Full-Time,STEM-OPT,Yes,Chicago,IL,USA,2020-01-07,2023-10-13,Referral,104009,6862,2,Jennifer Jones,QA,14
133,283,901,SDET,Python,Intern,OPT,Yes,Philadelphia,PA,USA,2022-05-20,2024-01-20,Indeed,114561,10788,3,Jay Sosa,SRE,15
134,287,219,Data Engineer,Azure,Part-Time,STEM-OPT,No,Cleveland,OH,USA,2020-08-21,2021-03-02,Handshake,70794,7982,5,Justin Carter,Apps,5
135,330,646,DevOps Engineer,"Spark, Hadoop",Contract,CPT,No,Savannah,GA,USA,2025-05-13,2025-04-27,Referral,107573,8441,2,Linda Castillo,SRE,7
136,214,515,Data Analyst,".NET, Hadoop, Power BI",Contract,H1B,No,Jacksonville,FL,USA,2025-12-16,2025-09-03,LinkedIn,91515,7932,5,Marvin Holmes,Security,17
137,244,414,QA Engineer,"Kubernetes, .NET",Intern,CPT,No,Phoenix,AZ,USA,2017-08-12,2022-10-10,Indeed,119706,8323,4,Megan Robertson,Platform,12
138,208,596,Salesforce Developer,"AWS, Node.js, JavaScript",Intern,CPT,Yes,Albany,NY,USA,2022-12-25,2025-09-03,Glassdoor,129781,6589,4,Andrea Houston,QA,11
139,946,54,Business Analyst,"Node.js, .NET",Contract,OPT,No,Albany,NY,USA,2016-07-09,2023-10-27,Company Site,104042,9050,3,David Nash,QA,11
140,774,50,Data Engineer,.NET,Intern,STEM-OPT,Yes,Cincinnati,OH,USA,2015-08-03,2024-07-14,Handshake,135764,11628,5,Mrs. Kimberly Rhodes,Security,5
141,392,939,ML Engineer,"Azure, GCP, Tableau",Intern,CPT,Yes,San Antonio,TX,USA,2024-03-03,2024-06-12,Indeed,112899,9422,3,William Mack,SRE,10
142,585,686,Business Analyst,"React, Tableau, Java",Full-Time,Citizen,No,Tampa,FL,USA,2024-10-11,2024-07-03,LinkedIn,94739,4770,4,Larry Kelley,Platform,5
143,684,50,DevOps Engineer,"JavaScript, Java, React",Part-Time,OPT,No,Ann Arbor,MI,USA,2024-11-03,2025-09-14,Company Site,81100,5719,4,Kelly Hernandez,Platform,2
144,514,391,ML Engineer,"Spark, Power BI, Docker",Contract,H1B,No,Albany,NY,USA,2019-09-04,2019-08-09,Indeed,120245,12633,4,Kevin Casey,Data,12
145,983,619,Data Analyst,React,Full-Time,OPT,Yes,St. Louis,MO,USA,2021-01-28,2025-07-08,Campus Career Fair,124657,10812,1,Mark Whitaker,Data,6
146,15,594,DevOps Engineer,Spark,Intern,Citizen,Yes,Grand Rapids,MI,USA,2024-12-19,2024-11-10,Campus Career Fair,127928,7945,3,Michael Johnson,Security,17
147,529,830,Salesforce Developer,R,Part-Time,CPT,No,Plano,TX,USA,2025-12-31,2025-09-02,Glassdoor,128635,9518,1,Michael Santiago,Platform,13
148,910,74,Data Analyst,Node.js,Part-Time,H1B,Yes,Savannah,GA,USA,2022-04-13,2025-03-26,LinkedIn,113592,7994,5,Kevin Davis,SRE,9
149,400,785,QA Engineer,"SQL, Azure, Python",Part-Time,Citizen,No,Redmond,WA,USA,2017-01-09,2019-02-13,Campus Career Fair,142694,8468,4,Carolyn Evans,QA,8
150,816,287,Business Analyst,"JavaScript, GCP, Docker",Intern,Citizen,Yes,Albany,NY,USA,2025-03-25,2025-08-20,Glassdoor,118690,9331,1,Emily Johnson,QA,3
151,327,542,Business Analyst,"Spark, .NET, R",Contract,OPT,Yes,Savannah,GA,USA,2022-08-05,2024-10-26,Referral,121891,7749,3,Matthew Gibson,Security,17
152,780,985,Security Analyst,"JavaScript, Kubernetes",Intern,CPT,No,Boulder,CO,USA,2025-06-05,2025-04-12,Glassdoor,117804,8606,5,Alexis Long,Apps,3
